èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260201,53600,17,3152,21,2552,42,17200,36400,-200
20260202,65000,14,4642,21,3095,50,8500,56500,0
20260203,57000,14,4071,21,2714,43,9700,47300,-1000
20260204,56700,16,3543,21,2700,44,12500,44200,0
20260205,35300,11,3209,11,3209,23,16600,18700,0
20260206,48500,12,4041,13,3730,34,8100,40400,-400
20260207,103900,23,4517,30,3463,66,28800,75100,-300
20260208,71200,16,4450,23,3095,53,23300,47900,0
20260209,94900,13,7300,18,5272,53,18900,76000,0
20260210,58000,18,3222,23,2521,46,19300,38700,-400
20260211,80000,19,4210,23,3478,48,42000,38000,0
20260212,40400,16,2525,16,2525,30,10800,29600,0
20260213,65000,19,3421,20,3250,46,16300,48700,-600
20260214,52000,17,3058,20,2600,39,14300,37700,-400
20260215,36700,11,3336,11,3336,27,9800,26900,0
20260216,53400,16,3337,20,2670,39,10500,42900,0
20260217,38600,12,3216,15,2573,31,5100,33500,-300
20260218,49300,14,3521,18,2738,36,9900,39400,0
20260219,37900,15,2526,15,2526,26,7100,30800,0
20260220,54200,15,3613,19,2852,41,20300,33900,-300
20260221,80100,20,4005,27,2966,58,22400,57700,-2200
20260222,76000,23,3304,27,2814,57,27200,48800,-200
20260223,52800,18,2933,19,2778,38,11400,41400,-1000
20260224,55850,14,3989,20,2792,44,11550,44300,0
20260225,24800,5,4960,8,3100,18,3500,21300,0
20260226,39600,14,2828,15,2640,30,7800,31800,-600
20260227,47600,16,2975,18,2644,35,13500,34100,0
20260228,81200,20,4060,25,3248,55,33200,48000,-500
